algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
a_star,linear_distance,True,9,"Neamt","Lugoj","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",910,0.43773651123046875,36,16.708
a_star,linear_distance,True,9,"Neamt","Timisoara","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Timisoara (118)]",942,0.3502368927001953,37,8.144
a_star,linear_distance,True,9,"Neamt","Zerind","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Zerind (75)]",899,0.3275871276855469,34,7.456
a_star,linear_distance,True,8,"Iasi","Lugoj","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",823,0.35190582275390625,36,7.736
a_star,linear_distance,True,8,"Iasi","Timisoara","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Timisoara (118)]",855,0.3504753112792969,37,8.116
a_star,linear_distance,True,8,"Iasi","Zerind","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Zerind (75)]",812,0.3261566162109375,34,7.428
a_star,linear_distance,True,8,"Neamt","Mehadia","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",840,0.32830238342285156,34,7.764
a_star,linear_distance,True,8,"Neamt","Oradea","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Oradea (151)]",835,0.25343894958496094,26,6.816
a_star,linear_distance,True,8,"Neamt","Arad","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140)]",824,0.2384185791015625,24,6.768
a_star,linear_distance,True,8,"Eforie","Lugoj","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",773,0.34332275390625,36,7.432
a_star,linear_distance,True,8,"Eforie","Timisoara","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Timisoara (118)]",805,0.36334991455078125,35,7.812
a_star,linear_distance,True,8,"Eforie","Zerind","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Zerind (75)]",762,0.30422210693359375,32,7.525
a_star,linear_distance,True,7,"Iasi","Mehadia","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",753,0.32520294189453125,34,7.736
a_star,linear_distance,True,7,"Iasi","Oradea","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Oradea (151)]",748,0.29015541076660156,26,6.788
a_star,linear_distance,True,7,"Iasi","Arad","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140)]",737,0.23651123046875,24,6.740
a_star,linear_distance,True,7,"Neamt","Sibiu","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80)]",684,0.20599365234375,20,5.772
a_star,linear_distance,True,7,"Neamt","Drobeta","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120)]",765,0.2415180206298828,24,6.460
a_star,linear_distance,True,7,"Hirsova","Lugoj","[Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",687,0.33736228942871094,36,7.424
a_star,linear_distance,True,7,"Hirsova","Timisoara","[Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Timisoara (118)]",719,0.3237724304199219,35,7.732
a_star,linear_distance,True,7,"Hirsova","Zerind","[Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Zerind (75)]",676,0.2963542938232422,32,7.424
a_star,linear_distance,True,7,"Eforie","Mehadia","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",703,0.30684471130371094,32,7.100
a_star,linear_distance,True,7,"Eforie","Oradea","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Oradea (151)]",698,0.23055076599121094,24,6.460
a_star,linear_distance,True,7,"Eforie","Arad","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140)]",687,0.2181529998779297,22,6.436
a_star,linear_distance,True,7,"Lugoj","Vaslui","[Lugoj -> Mehadia (70), Mehadia -> Drobeta (75), Drobeta -> Craiova (120), Craiova -> Pitesti (138), Pitesti -> Bucharest (101), Bucharest -> Urziceni (85), Urziceni -> Vaslui (142)]",731,0.40411949157714844,37,7.756
a_star,linear_distance,True,7,"Vaslui","Timisoara","[Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Timisoara (118)]",763,0.33926963806152344,37,8.151
