algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
breadth_first,None,True,9,"Neamt","Lugoj","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",910,11.426448822021484,1449,497.176
breadth_first,None,True,8,"Neamt","Timisoara","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Timisoara (118)]",974,4.240274429321289,638,211.924
breadth_first,None,True,8,"Neamt","Zerind","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Zerind (75)]",931,4.099369049072266,632,210.542
breadth_first,None,True,8,"Iasi","Lugoj","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",823,9.491682052612305,1448,480.816
breadth_first,None,True,7,"Iasi","Timisoara","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Timisoara (118)]",887,3.9076805114746094,637,211.536
breadth_first,None,True,7,"Iasi","Zerind","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Zerind (75)]",844,3.905773162841797,631,209.544
breadth_first,None,True,8,"Neamt","Mehadia","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",840,3.6134719848632812,577,191.672
breadth_first,None,True,7,"Neamt","Oradea","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Oradea (151)]",867,1.567840576171875,256,85.044
breadth_first,None,True,7,"Neamt","Arad","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140)]",856,1.569509506225586,251,83.384
breadth_first,None,True,8,"Eforie","Lugoj","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",773,6.967306137084961,1088,361.352
breadth_first,None,True,7,"Eforie","Timisoara","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Timisoara (118)]",837,2.8743743896484375,479,159.136
breadth_first,None,True,7,"Eforie","Zerind","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Zerind (75)]",794,2.9344558715820312,473,157.144
breadth_first,None,True,7,"Iasi","Mehadia","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",753,3.5812854766845703,576,191.284
breadth_first,None,True,6,"Iasi","Oradea","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Oradea (151)]",780,1.6138553619384766,255,84.656
breadth_first,None,True,6,"Iasi","Arad","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140)]",769,1.5919208526611328,250,82.996
breadth_first,None,True,6,"Neamt","Sibiu","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99)]",716,0.7083415985107422,108,35.908
