algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
depth_acyclic,None,True,12,"Neamt","Lugoj","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",1296,0.38933753967285156,36,15.192
depth_acyclic,None,True,13,"Neamt","Timisoara","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70), Lugoj -> Timisoara (111)]",1407,0.3387928009033203,38,7.204
depth_acyclic,None,True,15,"Neamt","Zerind","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70), Lugoj -> Timisoara (111), Timisoara -> Arad (118), Arad -> Zerind (75)]",1600,0.4360675811767578,43,8.200
depth_acyclic,None,True,11,"Iasi","Lugoj","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",1209,0.3116130828857422,36,6.540
depth_acyclic,None,True,12,"Iasi","Timisoara","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70), Lugoj -> Timisoara (111)]",1320,0.32591819763183594,38,7.011
depth_acyclic,None,True,14,"Iasi","Zerind","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70), Lugoj -> Timisoara (111), Timisoara -> Arad (118), Arad -> Zerind (75)]",1513,0.3707408905029297,43,7.868
depth_acyclic,None,True,11,"Neamt","Mehadia","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",1226,0.2903938293457031,34,6.540
depth_acyclic,None,True,16,"Neamt","Oradea","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70), Lugoj -> Timisoara (111), Timisoara -> Arad (118), Arad -> Zerind (75), Zerind -> Oradea (71)]",1671,0.4258155822753906,45,8.200
depth_acyclic,None,True,14,"Neamt","Arad","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70), Lugoj -> Timisoara (111), Timisoara -> Arad (118)]",1525,0.34880638122558594,40,7.536
depth_acyclic,None,True,11,"Eforie","Lugoj","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Rimnicu (80), Rimnicu -> Pitesti (97), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",1159,0.26154518127441406,31,6.904
