algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
greedy_best_first,linear_distance,True,9,"Neamt","Lugoj","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",910,0.36525726318359375,31,15.960
greedy_best_first,linear_distance,True,8,"Neamt","Timisoara","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Timisoara (118)]",974,0.22721290588378906,23,6.460
greedy_best_first,linear_distance,True,8,"Neamt","Zerind","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Zerind (75)]",931,0.2257823944091797,23,6.436
greedy_best_first,linear_distance,True,8,"Iasi","Lugoj","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",823,0.28514862060546875,31,7.404
greedy_best_first,linear_distance,True,7,"Iasi","Timisoara","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Timisoara (118)]",887,0.225067138671875,23,6.432
greedy_best_first,linear_distance,True,7,"Iasi","Zerind","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Zerind (75)]",844,0.21767616271972656,23,6.408
greedy_best_first,linear_distance,True,8,"Neamt","Mehadia","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",840,0.23818016052246094,25,6.436
greedy_best_first,linear_distance,True,7,"Neamt","Oradea","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Oradea (151)]",867,0.19812583923339844,20,5.860
greedy_best_first,linear_distance,True,7,"Neamt","Arad","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140)]",856,0.2009868621826172,20,5.860
greedy_best_first,linear_distance,True,8,"Eforie","Lugoj","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",773,0.2684593200683594,29,7.124
