algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
uniform_cost,None,True,9,"Neamt","Lugoj","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",910,0.5245208740234375,44,16.756
uniform_cost,None,True,9,"Neamt","Timisoara","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Timisoara (118)]",942,0.37670135498046875,46,8.728
uniform_cost,None,True,9,"Neamt","Zerind","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Zerind (75)]",899,0.34999847412109375,42,8.396
uniform_cost,None,True,8,"Iasi","Lugoj","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",823,0.3616809844970703,44,8.368
uniform_cost,None,True,8,"Iasi","Timisoara","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Timisoara (118)]",855,0.3733634948730469,46,8.700
uniform_cost,None,True,8,"Iasi","Zerind","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Zerind (75)]",812,0.3502368927001953,42,8.368
uniform_cost,None,True,8,"Neamt","Mehadia","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",840,0.3581047058105469,40,8.064
uniform_cost,None,True,8,"Neamt","Oradea","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Oradea (151)]",835,0.3170967102050781,38,8.064
uniform_cost,None,True,8,"Neamt","Arad","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140)]",824,0.2970695495605469,35,7.469
uniform_cost,None,True,8,"Eforie","Lugoj","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",773,0.3707408905029297,44,8.396
uniform_cost,None,True,8,"Eforie","Timisoara","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Timisoara (118)]",805,0.4067420959472656,46,8.728
uniform_cost,None,True,8,"Eforie","Zerind","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97), Rimnicu -> Sibiu (80), Sibiu -> Arad (140), Arad -> Zerind (75)]",762,0.34236907958984375,42,8.396
