algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
greedy_best_first,n_conflicts,True,20,"(18, 14, 31, 21, 0, 29, 11, 29, 1, 25, 4, 25, 30, 3, 24, 13, 30, 30, 7, 15, 26, 15, 27, 31, 15, 21, 26, 20, 29, 11, 25, 5)","(12, 14, 28, 21, 18, 16, 23, 6, 1, 25, 4, 8, 19, 3, 24, 13, 2, 9, 7, 22, 0, 30, 27, 31, 15, 20, 26, 10, 29, 11, 17, 5)","[col[11]->row[15], col[19]->row[7], col[7]->row[9], col[12]->row[21], col[25]->row[13], col[17]->row[11], col[21]->row[8], col[5]->row[19], col[0]->row[26], col[2]->row[29], col[6]->row[6], col[20]->row[6], col[27]->row[22], col[6]->row[6], col[30]->row[24], col[25]->row[18], col[21]->row[11], col[4]->row[18], col[16]->row[4], col[21]->row[28]]",20,12532.6509475708,55553,45084.001
greedy_best_first,n_conflicts,True,21,"(20, 11, 11, 5, 2, 12, 30, 2, 14, 6, 17, 4, 13, 30, 17, 22, 9, 11, 17, 16, 17, 10, 23, 12, 0, 24, 25, 1, 7, 27, 17, 6)","(20, 17, 11, 5, 29, 12, 4, 2, 14, 21, 28, 30, 15, 13, 18, 25, 27, 31, 26, 16, 3, 10, 23, 19, 0, 24, 8, 1, 22, 7, 9, 6)","[col[18]->row[9], col[20]->row[18], col[10]->row[11], col[23]->row[7], col[9]->row[15], col[17]->row[20], col[4]->row[13], col[14]->row[1], col[12]->row[2], col[4]->row[14], col[13]->row[15], col[15]->row[4], col[26]->row[15], col[28]->row[15], col[1]->row[6], col[15]->row[31], col[16]->row[18], col[30]->row[24], col[29]->row[12], col[6]->row[6], col[11]->row[26]]",21,8444.283962249756,40673,32393.020
greedy_best_first,n_conflicts,True,21,"(27, 19, 0, 10, 25, 7, 29, 15, 12, 31, 26, 14, 28, 6, 16, 1, 4, 2, 16, 14, 2, 8, 16, 3, 31, 21, 25, 18, 23, 20, 29, 7)","(27, 13, 0, 25, 30, 19, 26, 10, 17, 9, 11, 24, 28, 6, 16, 1, 4, 22, 15, 29, 2, 8, 14, 3, 31, 21, 5, 18, 23, 12, 20, 7)","[col[18]->row[8], col[26]->row[12], col[1]->row[26], col[5]->row[12], col[9]->row[10], col[17]->row[20], col[4]->row[5], col[3]->row[15], col[6]->row[20], col[10]->row[17], col[11]->row[12], col[7]->row[27], col[22]->row[30], col[19]->row[2], col[8]->row[5], col[29]->row[24], col[19]->row[13], col[30]->row[23], col[6]->row[9], col[18]->row[23], col[11]->row[30]]",21,13546.200037002563,65473,52514.324
greedy_best_first,n_conflicts,True,18,"(29, 11, 31, 2, 15, 19, 10, 18, 5, 12, 23, 22, 16, 31, 29, 4, 28, 6, 3, 19, 27, 5, 22, 7, 17, 12, 6, 29, 26, 22, 17, 10)","(1, 11, 8, 24, 0, 21, 9, 18, 5, 14, 23, 20, 16, 31, 28, 4, 2, 7, 3, 19, 27, 13, 30, 17, 15, 12, 6, 29, 26, 22, 25, 10)","[col[11]->row[30], col[22]->row[8], col[0]->row[4], col[30]->row[8], col[2]->row[9], col[4]->row[17], col[21]->row[8], col[24]->row[30], col[5]->row[2], col[6]->row[1], col[9]->row[14], col[6]->row[30], col[17]->row[1], col[9]->row[20], col[23]->row[10], col[3]->row[22], col[16]->row[6], col[14]->row[31]]",18,4012.7947330474854,18849,15000.100
greedy_best_first,n_conflicts,True,25,"(22, 25, 21, 29, 4, 31, 21, 11, 2, 22, 23, 16, 12, 27, 18, 11, 7, 23, 14, 27, 26, 21, 30, 5, 16, 24, 2, 10, 2, 28, 16, 6)","(20, 23, 12, 1, 4, 31, 21, 9, 13, 25, 7, 22, 3, 27, 18, 11, 6, 26, 24, 0, 15, 8, 30, 5, 17, 14, 29, 10, 2, 28, 16, 19)","[col[19]->row[5], col[21]->row[19], col[24]->row[1], col[3]->row[4], col[26]->row[27], col[2]->row[14], col[7]->row[30], col[17]->row[3], col[20]->row[21], col[0]->row[30], col[1]->row[20], col[9]->row[3], col[11]->row[6], col[12]->row[7], col[18]->row[10], col[25]->row[22], col[31]->row[1], col[16]->row[31], col[10]->row[16], col[31]->row[16], col[8]->row[11], col[1]->row[10], col[31]->row[28], col[12]->row[16], col[2]->row[9]]",25,26285.794973373413,124993,100537.020
greedy_best_first,n_conflicts,True,19,"(19, 15, 3, 14, 28, 10, 3, 9, 23, 14, 11, 10, 22, 17, 21, 8, 3, 19, 29, 19, 23, 25, 26, 1, 13, 3, 22, 16, 27, 17, 5, 26)","(12, 15, 18, 1, 14, 10, 0, 20, 23, 31, 11, 28, 2, 17, 21, 8, 3, 19, 29, 25, 6, 24, 30, 5, 9, 4, 22, 16, 27, 13, 7, 26)","[col[2]->row[15], col[22]->row[4], col[0]->row[25], col[9]->row[17], col[11]->row[24], col[25]->row[1], col[7]->row[11], col[20]->row[15], col[21]->row[31], col[6]->row[29], col[19]->row[6], col[24]->row[28], col[29]->row[28], col[30]->row[2], col[3]->row[19], col[23]->row[4], col[12]->row[12], col[4]->row[18], col[11]->row[26]]",19,8098.408222198486,38689,30833.460
greedy_best_first,n_conflicts,True,23,"(24, 19, 26, 1, 5, 6, 27, 13, 0, 13, 3, 19, 12, 0, 20, 25, 21, 13, 10, 1, 8, 25, 22, 18, 1, 3, 0, 10, 6, 1, 22, 0)","(15, 19, 5, 16, 27, 7, 11, 14, 2, 23, 3, 28, 31, 29, 20, 12, 24, 13, 17, 30, 8, 25, 22, 18, 1, 4, 0, 10, 26, 9, 6, 21)","[col[18]->row[7], col[7]->row[1], col[29]->row[8], col[8]->row[2], col[25]->row[1], col[13]->row[29], col[19]->row[27], col[0]->row[23], col[5]->row[1], col[9]->row[10], col[3]->row[15], col[11]->row[9], col[12]->row[19], col[15]->row[19], col[16]->row[3], col[19]->row[2], col[30]->row[31], col[2]->row[11], col[28]->row[20], col[30]->row[17], col[31]->row[21], col[6]->row[16], col[4]->row[22]]",23,7676.0663986206055,37697,30276.484
greedy_best_first,n_conflicts,True,21,"(12, 15, 14, 19, 18, 16, 29, 28, 11, 20, 11, 8, 12, 10, 5, 15, 29, 30, 6, 17, 20, 23, 21, 7, 3, 18, 5, 11, 15, 8, 15, 15)","(3, 25, 14, 19, 4, 9, 29, 13, 26, 20, 17, 31, 1, 10, 5, 24, 2, 30, 6, 12, 28, 23, 21, 18, 16, 0, 7, 11, 22, 8, 15, 27)","[col[15]->row[9], col[1]->row[10], col[8]->row[15], col[28]->row[7], col[11]->row[23], col[12]->row[21], col[16]->row[5], col[31]->row[12], col[5]->row[25], col[24]->row[1], col[25]->row[14], col[0]->row[23], col[7]->row[17], col[20]->row[8], col[26]->row[2], col[23]->row[11], col[4]->row[5], col[4]->row[13], col[24]->row[12], col[10]->row[6], col[19]->row[27]]",21,5055.985927581787,24801,20264.564
greedy_best_first,n_conflicts,True,20,"(2, 15, 18, 21, 15, 0, 18, 13, 21, 24, 23, 22, 17, 4, 24, 1, 30, 2, 24, 7, 17, 4, 6, 17, 25, 7, 4, 12, 20, 21, 26, 14)","(8, 5, 19, 28, 13, 20, 18, 29, 27, 9, 31, 22, 11, 2, 24, 1, 30, 10, 16, 0, 17, 23, 6, 3, 25, 7, 4, 12, 15, 21, 26, 14)","[col[8]->row[6], col[9]->row[17], col[1]->row[22], col[17]->row[8], col[2]->row[1], col[3]->row[7], col[12]->row[26], col[13]->row[12], col[7]->row[16], col[4]->row[30], col[10]->row[8], col[21]->row[19], col[0]->row[6], col[28]->row[27], col[5]->row[20], col[19]->row[25], col[23]->row[18], col[18]->row[10], col[18]->row[14], col[13]->row[18]]",20,5976.6058921813965,28769,23285.652
greedy_best_first,n_conflicts,True,22,"(18, 28, 13, 31, 26, 7, 15, 0, 20, 23, 2, 21, 2, 5, 0, 8, 24, 0, 13, 6, 13, 0, 5, 22, 4, 16, 24, 16, 3, 2, 5, 26)","(18, 28, 13, 31, 29, 7, 15, 20, 11, 23, 10, 17, 2, 9, 30, 8, 24, 0, 19, 6, 27, 25, 4, 1, 21, 16, 12, 3, 22, 14, 5, 26)","[col[7]->row[1], col[18]->row[6], col[10]->row[8], col[13]->row[4], col[14]->row[30], col[20]->row[14], col[21]->row[25], col[22]->row[9], col[4]->row[3], col[8]->row[23], col[26]->row[20], col[28]->row[17], col[27]->row[19], col[22]->row[6], col[29]->row[12], col[11]->row[28], col[24]->row[8], col[22]->row[16], col[24]->row[9], col[23]->row[11], col[7]->row[19], col[28]->row[2]]",22,17873.146057128906,86305,68448.668
